LOC,TIME
KC,20
KC,20
KC,20
KC,24
KC,20
KC,30
KC,20
KC,21
KC,20
KC,20
KC,20
KC,31
KC,20
KC,22
KC,20
KC,20
KC,30
KC,20
KC,21
KC,20
KC,20
KC,20
KC,20
KC,20
KC,25
KC,20
KC,20
KC,22
KC,20
KC,20
KC,30
KC,20
KC,20
KC,20
KC,20
KC,20
KC,20
KC,20
KC,20
KC,21
KC,22
KC,21
KC,20
KC,20
KC,28
KC,20
KC,21
KC,21
KC,20
KC,20
KC,21
KC,21
KC,20
KC,20
KC,20
KC,20
KC,22
KC,20
KC,20
KC,20
KC,20
KC,20
KC,20
KC,20
KC,20
KC,20
KC,20
KC,20
KC,20
KC,20
KC,20
KC,20
KC,23
KC,37
KC,50
KC,48
KC,20
KC,20
KC,20
KC,21
KC,20
KC,20
KC,20
KC,20
KC,20
KC,20
KC,21
KC,21
KC,20
KC,20
KC,20
KC,25
KC,20
KC,21
KC,24
KC,21
KC,20
KC,20
KC,22
KC,23
KC,20
KC,20
KC,20
KC,20
KC,23
KC,20
KC,20
KC,20
KC,20
KC,20
KC,20
KC,21
KC,20
KC,20
KC,20
KC,20
KC,20
KC,20
KC,20
KC,20
KC,20
KC,20
KC,21
KC,20
KC,20
KC,28
KC,20
KC,20
KC,21
KC,20
KC,20
KC,20
KC,20
KC,20
KC,20
KC,21
KC,20
KC,25
KC,23
KC,20
KC,25
KC,20
KC,20
KC,20
KC,29
KC,22
KC,21
KC,21
KC,22
KC,23
KC,24
KC,20
KC,21
KC,20
KC,20
KC,23
KC,20
KC,20
KC,21
KC,20
KC,22
KC,21
KC,21
KC,26
KC,20
KC,21
KC,21
KC,20
KC,21
KC,20
KC,20
KC,20
KC,20
KC,21
KC,20
KC,20
KC,20
KC,20
KC,22
KC,20
KC,21
KC,20
KC,26
KC,20
KC,21
KC,20
KC,20
KC,20
KC,20
KC,20
KC,20
KC,20
KC,20
KC,20
KC,20
KC,20
KC,20
KC,22
KC,21
KC,20
